Unnamed: 0,nonsense_sentence,logical_sentence,correct_reasoning_1,correct_reasoning_2,correct_reasoning_3,wrong_reasoning_1,wrong_reasoning_2
105,Ulang tahun bayi adalah hari pertemuan orang tua mereka.,"Ketika bayi lahir, hari itu disebut 'ulang tahun'.",Ulang tahun mengacu pada hari Anda dikandung sebagai cara untuk merujuk usia Anda sehingga tidak mungkin hari orang tua Anda bertemu.,hari kelahiran mereka adalah hari kelahiran mereka,Seorang bayi tidak dilahirkan pada hari orang tua bertemu.,Ulang tahun adalah hari-hari bahagia dan hari kelahiran lebih bahagia daripada hari pertemuan orang tua.,Ulang tahun harus mengacu pada hari-hari dan sebagian besar orang tua bertemu di malam hari
106,Toko-toko domba di Walmart,Seorang wanita berbelanja di Walmart,"Walmart adalah toko untuk orang, bukan hewan",Domba tidak berbelanja di mana saja.,Domba tidak berbelanja,Domba akan melihat bagaimana wol digunakan di toko-toko,Domba hanya makan rumput tapi Walmart menjual daging
107,Anda tidak bisa mabuk karena alkohol.,Minum alkohol membuat Anda mabuk.,"Alkohol adalah satu-satunya hal yang dapat membuat Anda mabuk dan dengan meminumnya, otak Anda menjadi mabuk.","Alkohol, berdasarkan sifat kimianya, memiliki efek memabukkan.",Minum alkohol pada akhirnya akan membuat seseorang mabuk.,Tidak mungkin untuk tetap sadar jika Anda minum bahkan satu tetes alkohol.,Alkohol beracun dan dengan meminumnya Anda akan segera mabuk.
109,Hutan adalah daerah yang tertutup salju,Hutan adalah daerah yang ditumbuhi pohon,"banyak pohon membentuk hutan, dan ada atau tidak adanya salju tidak relevan",Hutan tidak selalu tertutup salju.,"hutan biasanya ditutupi dengan pohon, itulah yang membuatnya menjadi hutan","salju putih, dan hutan hijau","salju mencair, tetapi hutan tidak"
110,Bangunan itu membangunnya,Dia membangun sebuah bangunan,Bangunan itu tidak hidup,Sebuah bangunan tidak hidup atau bergerak.,bangunan tidak bisa berbuat apa-apa.,bangunannya terlalu besar,bangunan itu buatan manusia
111,Rumput bernyanyi.,Rumput tumbuh.,Rumput tidak memiliki suara atau mulut untuk membuat kebisingan.,rumput tidak bernyanyi,Rumput tidak hidup dan tidak memiliki mulut.,Banyak binatang makan rumput.,Air membantu rumput tumbuh.
112,Dia memotong daging dengan kulkas.,Dia memotong daging dengan pisau.,Kulkas jauh lebih besar daripada daging.,Lemari es tidak bisa dipegang di tangan Anda.,Kulkas tidak tajam dan tidak bisa memotong makanan.,Lemari es adalah besi sedangkan daging berwarna merah.,Kulkas tidak bisa menggunakan pisau.
113,Aku berlari ke langit.,Aku berlari ke gudang.,"Anda tidak dapat berlari di langit, karena Anda akan pergi ke langit menggunakan roket luar angkasa.",Saya harus tetap berhubungan dengan tanah ketika saya berlari,Tidak mungkin manusia mencapai langit tanpa bantuan pesawat; gravitasi membuat ini mustahil.,"Tidak bisa jalan di langit, menggunakan balon udara atau yang lainnya.","Manusia tidak bisa bulu, hanya menggunakan kaki berlari."
114,Tidak ada yang menggunakan pena untuk menulis.,Orang menulis dengan pena.,Pena dibuat untuk digunakan untuk menulis dan merupakan alat tulis umum yang digunakan orang karena mereka efektif.,Semua orang menggunakan pena,Pena adalah alat tulis yang digunakan oleh banyak orang.,Anda tidak dapat menulis dengan apa pun selain pena.,Anda dipuji karena menggunakan pena untuk menulis daripada menulis yang lain.
115,Paus berenang di bak mandi.,Paus berenang di laut.,Paus jauh lebih besar dari bak mandi.,Paus adalah hewan besar dan tidak bisa muat di bak mandi.,Bak mandi standar tidak dapat menampung ikan paus.,Paus biasanya berwarna abu-abu sedangkan bak biasanya berwarna putih.,Bak mandi tidak bisa berenang di paus.
116,Seorang petinju tidak akan pernah melakukan pertandingan tinju.,Seorang petinju kemungkinan akan melakukan pukulan dalam pertandingan tinju.,Seorang petinju perlu melakukan pukulan dalam pertandingan tinju untuk mencetak poin dan menang. Wasit membuat mereka memukul.,"Jika Anda tidak melakukan pukulan dalam pertandingan tinju, Anda tidak bisa mengklaim sebagai petinju",Pertandingan tinju adalah semua tentang tinju.,Petinju akan ditangkap jika mereka meninju seseorang.,Petinju adalah orang yang sangat baik dan membenci semua jenis kekerasan.
117,Ada seseorang yang minum asam sulfat.,Ada seseorang yang minum air.,Orang tidak minum asam sulfat karena akan membunuh mereka.,Asam sulfat tidak dapat dimakan.,Asam sulfat akan membunuh seseorang sehingga biasanya orang tidak meminumnya.,Asam sulfat tidak memuaskan dahaga.,Seseorang tidak akan minum asam sulfat karena rasanya pahit.
118,Dia minum secangkir ban.,Dia minum secangkir teh.,Ban tidak bisa diminum.,ban tidak cocok dalam cangkir,Manusia tidak bisa minum ban.,"Ban terbuat dari karet, gelas terbuat dari kaca.",Piala tidak dapat menggerakkan ban.
120,Jerapah berenang melalui laut,Paus berenang melalui laut,Paus bisa berenang jauh lebih baik daripada jerapah,Jerapah hidup di darat.,Jerapah adalah hewan darat dan tidak berenang di lautan,Paus jauh lebih besar dari jerapah,Paus tidak bisa berjalan seperti jerapah
123,Orang-orang penuh dengan pesawat,Pesawat itu penuh dengan orang-orang,Pesawat jauh lebih besar daripada manusia,"Orang tidak bisa penuh dengan pesawat, tetapi pesawat bisa penuh dengan orang",Pesawat lebih besar dari manusia.,pesawat bisa terbang sementara orang tidak bisa,orang tidak bisa makan pesawat
124,Dia pergi ke toko untuk membeli tangan,Dia pergi ke toko untuk membeli roti,Anda tidak dapat membeli tangan dari toko.,Anda tidak dapat membeli tangan di toko atau toko.,Tangan tidak bisa dibeli di toko.,Anda tidak bisa makan tangan.,Tangan tidak akan muat di keranjang belanja.
125,Dia mengambil trotoar ke tempat sampah.,Dia membawa sampah ke trotoar.,Anda tidak dapat mengambil trotoar dari tempat itu.,trotoar jauh lebih berat untuk diambil,Trotoar adalah tempat.,Trotoar biasanya merupakan tempat Anda menaruh sampah.,Trotoar adalah tempat pengelolaan sampah menerima semua sampah.
126,Alice menyalakan batu di malam hari,Alice menyalakan lilin di malam hari,Batuan tidak bisa menyala dengan mudah,Batu tidak terbakar.,Alice tidak bisa menyalakan batu,Lilin dan batu tidak bisa dilihat di malam hari,Batu dan lilin memiliki ukuran yang sama
127,Dia terbang dengan pizza.,Dia mengirim pizza.,Pizza tidak memiliki mesin untuk diterbangkan.,Pizza tidak bisa terbang.,Dia terbang di pesawat,Pizza memiliki banyak topping yang berbeda,Topping pizza akan menempel di pantat Anda jika Anda duduk di atasnya.
128,Seorang musisi dapat melakukan operasi,Seorang musisi dapat memainkan alat musik,hanya ahli bedah yang berkualifikasi yang dapat melakukan operasi,"Jika seseorang adalah seorang musisi, itu tidak berarti mereka mampu melakukan operasi",Musisi dilatih dalam spesialisasi musik bukan operasi,baik musisi maupun operasi melibatkan instrumen,beberapa musisi melakukan operasi pada mereka
129,Dia menyikat giginya dengan truk.,Dia menyikat giginya dengan sikat.,Sebuah truk lebih besar dari gigi.,Sebuah truk tidak akan membersihkan gigi.,Seseorang tidak menggosok gigi dengan truk,Truk biasanya berwarna hitam sedangkan giginya putih.,Sebuah truk tidak bisa menyikat giginya.
130,Rumah itu memasuki pria itu,Pria itu memasuki rumah,rumah itu lebih besar dari pria itu,Sebuah rumah terlalu besar untuk dimasuki pria,"Rumah adalah benda sehingga tidak bisa masuk apa pun, terutama laki-laki.",rumah itu bukan manusia,rumah itu tidak akan dimakan manusia
131,Dia menaruh paus di rak.,Dia meletakkan jeruk di rak,Seekor paus terlalu besar untuk muat di rak.,Paus terlalu besar untuk ditampung di rak mana pun.,Paus lebih besar dari pada rak.,Paus berwarna putih sedangkan raknya berwarna coklat.,Seekor paus tidak bisa mencium bau rak.
132,Jill makan penyihir dalam bukunya.,Jill menulis buku tentang penyihir.,Anda tidak bisa makan penyihir.,"Jika penyihir ada di dalam buku, maka itu adalah khayalan dan tidak dapat dimakan",Penyihir dapat melindungi diri dari dimakan.,Penyihir terlalu besar untuk dimakan manusia.,Penyihir buku tidak bisa dimakan seperti penyihir biasa.
133,Dia bepergian dengan laptop untuk mencapai kantor.,Dia bepergian dengan bus untuk mencapai kantor.,Laptop bukan kendaraan yang bisa dikendarai.,Dia menggunakan laptop di kantor,laptop tidak menyediakan transportasi fisik,Laptop membutuhkan driver untuk menjalankan perangkat lunak.,Simulasi mengemudi dapat ditampilkan di laptop.
135,Tabel mencair pada suhu kamar.,Es mencair pada suhu kamar.,Meja tidak meleleh pada suhu kamar.,Tabel tidak meleleh.,tabel tidak meleleh,Tabel selalu berbentuk persegi atau bulat saat es basah.,Meja tidak membeku di lemari es.
136,Dia berjalan ke mars,Dia berjalan ke toko,Mars adalah planet lain,Anda tidak bisa berjalan di luar angkasa.,Satu-satunya cara untuk sampai ke mars adalah dengan pesawat ruang angkasa.,Mars lebih besar dari toko,Mars adalah warna merah
137,Dia mengangkat traktor dengan tangannya.,Ia mengangkat rebana dengan tangannya.,Traktor terlalu berat untuk diangkat dengan tangannya.,traktor terlalu berat,Traktor terlalu berat untuk diangkat dengan tangan Anda.,Traktor selalu berwarna kuning sedangkan rebana adalah kayu.,Traktor tidak dapat menyentuh rebana.
138,Dwight menebang gunung,Dwight menebang pohon,Pegunungan jauh lebih besar dari pohon,Gunung tidak bisa ditebang.,gunung terlalu besar untuk ditebang,Pohon jauh lebih umum daripada gunung,Pohon tumbuh lebih cepat daripada gunung
139,dia berenang di lava,dia berenang di danau,lava terlalu panas untuk berenang di dalamnya,Dia akan mati jika dia melakukan itu,Anda akan mati di lava,lava merah dan dia tidak suka merah,dia tidak suka bau lava
141,Wanita itu menuliskan ceritanya dengan sendok di atas kertas,Wanita itu menulis cerita dengan pensil di atas kertas,Seseorang tidak bisa menuliskan sesuatu dengan sendok.,Seseorang tidak menggunakan sendok untuk menulis,"Sendok digunakan untuk makan, bukan untuk menulis.",Sendok memiliki ukuran yang sama dengan pensil.,Sendok lebih sulit daripada semua kertas
142,dia makan batu bata,dia makan pisang,batu bata tidak dapat dimakan,Orang makan makanan dan batu bata bukan makanan dan juga terlalu sulit dikunyah.,Bata tidak diizinkan dimakan,batu bata tidak enak,batu bata terlalu merah untuk dimakan
143,Pedang memanfaatkanku,Saya menggunakan pedang,Pedang tidak hidup,Pedang tidak hidup,Pedang tidak hidup,Pedang terbuat dari logam,Aku manusia
144,Geralt menerbangkan mobilnya setiap hari,Geralt mengendarai mobilnya setiap hari,Mobil memiliki roda dan tidak bisa terbang,Mobil tidak bisa terbang.,Mobil tidak bisa terbang,Ada mobil dengan spoiler,Pesawat terbang dan mobil punya motor.
145,Dia perlu memanggil ibunya tetapi dia tidak dapat menemukan kunci mobilnya,Dia perlu menelepon ibunya tetapi dia tidak dapat menemukan teleponnya,kunci mobil adalah untuk mengunci atau membuka kunci mobil daripada memanggil orang,Seseorang tidak menggunakan kunci mobil untuk melakukan panggilan telepon,kunci mobil tidak membuat panggilan telepon,kunci mobil tajam dan bisa menggores layar ponsel Anda,kunci mobil tidak digunakan untuk mengunci rumah
147,Dia pergi ke salon kecantikan karena ia merasa lapar,Dia pergi ke restoran karena dia merasa lapar,salon kecantikan tidak menyediakan makanan untuk rasa lapar Anda,Salon kecantikan tidak menjual makanan,panti tidak memiliki makanan untuk kelaparan,"Salon kecantikan hanya memiliki gunting, kursi dan cermin yang tidak bisa dimakan olehnya",Ada berbagai jenis restoran dan makanan untuk mengatasi rasa lapar
148,Piano dipukul,Piano dimainkan,"Piano adalah instrumen yang kita mainkan, bukan memukul",Anda tidak dapat mengeluarkan musik dari piano dengan memukulnya.,anda tidak memukul piano,Piano tidak memiliki drum,Piano ditutup
149,hari ini akan menjadi 30 jam,hari ini akan menjadi 24 jam,Satu hari hanya 24 jam,Setiap hari menurut definisi adalah 24 jam yang panjang,Dalam sehari hanya 24 jam,satu hari terdiri dari 24 jam sedangkan 30 jam terdiri dari 1 hari dan 6 jam,30 jam tidak muat dalam 1 hari
150,Gelas adalah untuk memegang gas yang akan Anda minum.,Gelas adalah untuk menampung cairan yang Anda rencanakan untuk diminum.,Anda tidak bisa minum gas.,"Seseorang tidak minum gas, dari cangkir atau apa pun.",Gas tidak akan tinggal di gelas.,Gas tidak masuk ke dalam gelas.,Hanya cairan yang bisa masuk ke gelas.
151,Saya berpakaian singa,Aku berpakaian sendiri,Seekor singa adalah binatang buas,Singa tidak memakai pakaian.,Anda tidak mengenakan pakaian pada singa.,Seekor singa adalah mamalia,Seekor singa makan
153,Saya suka makan es krim yang dimasak,Saya suka makan telur rebus,Es krim adalah untuk mengambil tidak untuk memasak,anda tidak MEMASAK es krim,Es krim akan meleleh jika dimasak.,Es krim meleleh saat memasak bukan telur,es krim tidak memasak
155,Dia menari di sendok,Dia menari di lantai,Sendok adalah alat,Sendok terlalu kecil untuk menari.,Sendok terlalu kecil untuk menari.,Sendok tidak datar,Dia tidak suka sendok
157,Anak itu memakan lumpur dari wajahnya.,Anak itu menggosok lumpur di wajahnya.,Manusia tidak makan lumpur.,Lumpur tidak bisa dimakan.,Lumpur tidak bisa dimakan.,Anak-anak tidak bermain di lumpur.,Anak-anak alergi terhadap lumpur.
159,Dia berjalan di atas air.,Dia berjalan di jalan.,Air tidak memiliki permukaan padat untuk menahan seseorang di atasnya.,air tidak mendukung berat manusia,Seseorang tidak bisa berjalan di atas air,Air dapat dipindahkan oleh massa tubuh pria.,Air tidak bisa dihentikan.
160,Seekor hiu mewawancarai seekor ikan.,Seekor hiu memakan ikan,Hiu dan ikan tidak berbicara.,Hiu tidak bisa bicara,Ikan tidak bisa bicara,Hiu lebih besar dari ikan.,Ada lebih banyak huruf dalam kata hiu daripada ikan.
161,Dia mengangkat traktor.,Dia mengangkat kursi.,Traktor terlalu berat untuk satu orang.,Secara fisik tidak mungkin hanya satu orang yang mengangkat traktor.,Traktor terlalu berat untuk diangkat oleh orang normal,Traktor seringkali berwarna hitam sementara kursi berwarna hijau.,Traktor tidak bisa duduk di kursi.
162,Dia membuat panggilan dengan kompor.,Dia membuat panggilan telepon.,Kompor itu untuk memasak.,Kompor bukan untuk panggilan,kompor tidak memanggil orang,Kompor panas dan telepon dingin.,Kompor cincin dan tidak bergetar.
163,Matahari bersinar terang di malam hari,Matahari bersinar cerah di siang hari,Matahari tidak muncul di malam hari,Pada malam hari matahari tidak bersinar.,"Di malam hari, kita tidak bisa melihat matahari dan karena itu tidak bersinar terang di malam hari.","Matahari hanya siang hari, malam muncul bulan",Tidak ada matahari di siang hari
164,Buku itu makan,Gajah makan,Buku ini tidak hidup,Sebuah buku tidak hidup.,Buku terbuat dari kertas dan tidak bisa dimakan,Buku itu terbuat dari kertas,Buku ini berguna
165,Wanita itu menulis di langit.,Wanita itu menulis di buku.,Surga tidak memiliki halaman seperti buku.,anda tidak dapat menulis langit,Seorang wanita tidak dapat secara fisik menulis di langit.,"Langit biasanya biru, sedangkan buku-buku berbagai warna.",Buku tidak bisa menulis di langit.
166,negara liegenpoofa ada,negara Denmark ada,Denmark ada dan Liegenpoofa tidak,Tidak ada negara yang dikenal sebagai liegenpoofa.,Tidak ada negara bernama liegenpoofa,Liegenpoofa ada di Lord of the Rings series,"Liegenpoofa adalah bahasa Jerman untuk ""tuduhan intens"""
167,Anda tidak akan pernah menemukan debu pada desktop.,Sesuatu yang dapat Anda temukan di desktop adalah debu.,Debu terakumulasi pada desktop secara alami lembur karena spora di udara.,Debu dapat ditemukan di mana-mana,Debu mendarat di mana saja.,Debu tumbuh di atas desktop seperti halnya tanaman.,Desktop adalah lingkungan yang disukai untuk debu.
168,Anjing makan kabel ekstensi.,Anjing makan makanan anjing.,Kabel ekstensi tidak bisa dimakan.,"Kabel ekstensi bukan makanan dan tidak boleh dimakan, sebagai aturan.",anjing akan mati jika mereka makan tali,"Makanan anjing bisa basah atau kering, kabel ekstensi harus kering.",Anjing tidak bisa mencerna tembaga dan plastik.
169,Anak-anak suka mencuci pakaian,Anak-anak suka membaca cerita,Cucian umumnya dipandang sebagai kegiatan yang membosankan,Binatu bukanlah kegiatan yang menyenangkan bagi anak-anak.,anak-anak tidak suka mengerjakan tugas,Banyak anak-anak benci membaca cerita,Binatu dan membaca cerita merupakan kegiatan
170,Anda bisa mandi dalam blender,Anda bisa mandi di bak mandi,Blender terlalu kecil,orang akan mati dalam blender,Blender terlalu kecil untuk mandi.,Blender hanya memiliki air dingin,Blender mungkin mengandung mustard
171,Koin itu terbuat dari keju,Koin itu terbuat dari perak,Keju adalah makanan dan perak adalah logam,Keju terlalu lunak dan dapat dimakan untuk dijadikan koin.,"Koin biasanya terbuat dari logam, bukan makanan.",Keju lebih baik dimakan daripada perak,Keju lebih murah daripada perak
172,Garpu digunakan untuk memotong roti,Pisau roti digunakan untuk memotong roti,"garpu, tidak seperti pisau, tidak bisa memotong",Pisau digunakan untuk memotong roti,Garpu tidak cukup tajam untuk memotong roti.,"roti bisa dimakan, sementara garpu tidak bisa dimakan",Anda tidak dapat menusuk garpu dengan sepotong roti
173,Dia membuat telur dadar dengan telur kuda.,Dia membuat telur dadar dengan telur ayam.,Kuda tidak bertelur.,Kuda tidak bertelur,Kuda tidak bertelur.,Telur kuda terlalu kecil untuk membuat telur dadar.,Telur kuda berwarna merah muda sedangkan telur ayam berwarna putih.
